content,score,label
lumayan yang seru,4,positif
bagus banget,4,positif
seru tpi avatar nya banyak yang bayar,4,positif
bagus banget game ditambah juga gak ngeleg saat dimainkan tapi tolong ya skin nya ditambah satu aja pliss banget😊,5,positif
mantap pppppp,5,positif
geme ini bagus bgt aku suka dan offline aku kasih bintang 5 aj,5,positif
keren,5,positif
"dikit dikit update,wajar tapi gawajar dikit dikit haruss ngeluarin paket lagi gangotak coy asleeee shilitt",3,positif
seru,5,positif
Bagus,5,positif
bagus,5,positif
nice,5,positif
"bgus, tapi yh bosen",4,positif
game nya seru sih tapi harus ada update lagi biar gk bosen,4,positif
mohon maaf sebelumnya sama pemilik game ini aku kasih bintang 3 karna pas main tiba² ngebug gak gerak padahal jaringan bagus sering banget macet² gitu itu aja sih kendalanya jadi saya mohon tolong🙏🙏🙏🙏 segera diperbaiki dan semoga baca komentar ku,3,positif
seru,4,positif
Aplikasinya bagus warna²nya jugaa bagus hanya saja setiap kali setelah iklan pasti akan ngeleg kalo ga lemot🙏🏻,4,positif
"menurut saya,saya dulu sudah pernah main jadi yaa seruuu bgtt🤩🤩",5,positif
game ini sangat bagus dan seru untuk di coba . ini sangat menarik dan indah silah kan kalian coba game nya,5,positif
sangat bagus,4,positif
gimana kalian tambahkan karakter cowok namanya hayato di subwai tapi harganya 45.000 aja kan aku di subwai menemukan sebuah tulisan karakter tapi bukan di menu tapi ya bintang nah itu kan 4 hari lagi tolong tambhkan hayato,5,positif
ok bagus,5,positif
gem nya bagus tapi iklannya lumayan banyak lalu yang untuk kunci Yan untuk bebasin kita gabisa dipakai lagi harus gunain iklan lalu aku coba matiin Wi-Fi Masi aja harus pakai iklan tapii saya tidak mempersalahkan itu tapi ini tolong diperbaiki dan ada lagi disaat itu aku beli karakter baru lalu selesai aku coba aku mau coba karakter lain tapi disaat aku mau karate yang baru aku beli tiba tiba harus beli lagi padahal disaat aku beli karakter itu uwang ku pas gak kurang jadi itu tolong diperbaiki,2,negatif
"permainannya seru,bagus banget",5,positif
agak ngeselin tapi yang paling penting seru dah itu ajah,5,positif
jst love it.,5,positif
the game is really fun,5,positif
"tolong kecilin ukuran gamenya sekitar 0,98 gb",2,negatif
saya sangat suka dengan permainan a soalnya sangat seru,5,positif
sangat seru,5,positif
game nya bagus kali ini mah,5,positif
i like this this game is nice😉,5,positif
Ulan,5,positif
keren sih tapi sulit,5,positif
Aku sangat suka bermain game ini walaupun aku sexy seksi sexi,5,positif
game nya bagus banget apalagi offline bagus banget pokoknya kalian harus download game ini seru loh,5,positif
lama downloadnya,1,negatif
bosan tapi bagus untuk ķalo offline,4,positif
game nya bagus.,5,positif
"aplikasi aneh, lagi nonton iklan malah crash",2,negatif
saya pasang Amplikasi Subwery Surfers saya tidak mengganggu juga tidak di ganggu,5,positif
gamenya enak karena saya bisa download game ini karena pakai tablet jadi enak ketagihan deh😁😁😁😁,5,positif
game nya seru tpi agak ngelag jadi aku kasih bintang 3 aja,3,positif
game ini sangat bagus karna dia offline kalau mati lampu akan bisa main subway surf kalo udah hidup lampunya saya tetep main game ini.dan game ini juga bisa ganti orang gitu 👍👍👍 aku kasih bintang 5,5,positif
"so fun, but the ads making me bored😑",5,positif
sangat ² ekstrim🥰🥰🗿🗿🥳,5,positif
Keren,5,positif
seruuuuuu bgt,5,positif
sangat bagus,5,positif
bagus full 100000000000 mantap,5,positif
game ini seru bgt sumpah keren abiss mantap👍👍👍,5,positif
game ini sangat bagus dan sangat menghiburkan. sekali. dan tolong di tingkat kan lagi kualitas game nya ya !!,4,positif
permainan seru 🤩🤩🤩,5,positif
i love game,5,positif
seru banget,5,positif
