content,score,label
cukup bagus,4,positif
game yang tidak sesuai dengan permainan dalam tier-nya karena beberapa orang yang masih belum bisa bermain,1,negatif
"Mantab lah ini game, bintang 4 atau 3 dah pas. Game terbaik👍💯",4,positif
apalah game nya tadi temen gua main dapat lord kenapa monton kok kena musuh lord nya,1,negatif
gem nya Baguss bangett pikkk si haruss mainnnnn,4,positif
kebanyakan dark sistem anj aku main 3 Minggu rank sama aj ga naik ga turun saran saya jgn download game ini game bikin darah tinggi monton kont,5,positif
mm nya ga BNR Mulu moonton tolong dark system dihilangkan,1,negatif
TOLONG SERVER NYA DI PERBESAR LAGI SAMA DI PERKUAT.. KALO MAU LANCAR NIH GAME NYAA PAHAM MONNTON!!!!,3,positif
sangat seru main game ini jadi aku kasih lima bintang sangat keren cuy tapi ada permasalahan dikit moonton setiap aku mau naik legend di kasih darck sistem moonton jangan gitu lah moonton ganteng,5,positif
tim ku dikasi yang dark sistem mlu anj I'm mls gw main nda lma gw pke rw,1,negatif
semakin lama game ini semakin bnyak yg main termasuk ad hewannya juga yg mainkan 👎,1,negatif
buruk...sangattt sangattt buruk...no worth it,1,negatif
best,5,positif
geme nya burikk,3,positif
di lock terus,1,negatif
game mu titid mooton,5,positif
bagus sekali,5,positif
"menyebalkan, hanya krna blm bisa menguasai hero baru, mati berulang kali kredit skor di kurangi kbnyakan aturan",1,negatif
game ampas,1,negatif
lag,1,negatif
game nya bagus tapi ada tim darksistem,5,positif
👍🏻 gud job jelek banget skin. nya paquito voice note Paquito sendiri by 🥹🥲 Alhamdulillah sudah keren skinnya 🤭✌🏻,5,positif
game ini sangat menarik dan bisa Mabar dengan teman teman sekitar kita😊😊,5,positif
halah Bnyk bug sinyal pdhl sinyal bgus tim ke dontol tim musuk gangotak bikin gem yg waras dikit dontollllllllllllllll massa Menang 1 Lose 10 kali ngotak dikit dontoll,1,negatif
bikin stres saja bertemu lawan tak seimbang dan tim beban,1,negatif
sistem solo ngerusak,1,negatif
game ini sangat bagus sekali,5,positif
perbanyak skin gratis Julian moonton mantap,5,positif
senang bermain mobile gend,5,positif
gimana ya? tiap kali main pasti ada aja dark sistem jdi males klo main..,1,negatif
ML GABUS,5,positif
tidak puas dengan banyaknya dmfeder yang muncul terus menerus,1,negatif
monton gak kasih gua epik rasain lu 😒,1,negatif
NERF SKIL MOSKOV JAN NEMBUS2,1,negatif
game pilih kasih,2,negatif
game nya seru,5,positif
tidak bisa dimainkan,5,positif
keren,5,positif
sangat bagus tapi banyak drak sistem,4,positif
gem nya seru,5,positif
mantap kali ni game,5,positif
sinyal suka naik turun,2,negatif
"banyak player poke, nyusahin tim tapi gamenya masih bagus grafiknya juga ok lah",3,positif
game bagus tapi dari sistem masih ada waktu untuk diperkirakan,5,positif
woy ini game setiap main rank kalah mulu kasih kami rank menang 3x kek biar gk emosi pas main nya,1,negatif
heeh ton montoon kalok buat game jangan yang nyusahin orang dong kalok afk dikasih hukuman jadi orang yang mainin ml kan jadi ninggalin semua kewajibannya dan tolong gratisin semua skin yang bagus bagus,1,negatif
Karna game nya sangat bagus 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,positif
GAME SAMPAH,1,negatif
"Game Kanjut, Burik",1,negatif
Bagus,5,positif
aku saat bermain di game sampai pringkat atas aku ketemu orang yang tidak bisa main dan aku turun di pringkat bawah lagi sampai segitu saja makasih,1,negatif
game ini sangat buruk karena kasih team yang buruk lawan yang susah,1,negatif
banyak dark sistem,1,negatif
ML suka kasih dark sistem ml anj,1,negatif
good,5,positif
game bikin stres udah losetrek ga di kasih ws game burik emang,1,negatif
geme jelek kok di buat,1,negatif
permainannya seru grapiknya bagus,5,positif
Kontollllllll,5,positif
game nya bagus dan sangat raamah dan aku sangat sedih kerena ada hero yg bernama poveos tdk di kasih skin tolong mas moonton itu hero di kasih skin lah skin elit kek atau skin legends ataupun coloktor.. mas moonton aku mau tanya kapan mobile legend x naruto nya moonton gw gk sabar mau top up,5,positif
seru cuma di kasih tim nya bego semua,5,positif
sangat baik dan bagus,5,positif
Enak si enak tapi sisen terus padahal hampir mitik jadi turun epik kalo sisen tapi gua dikasih skin ex bok semua enak kalo mau ngasih nama nya Fhaaaaa😅,5,positif
karna sering di kasih derak sistem,3,positif
permainannya seru banget,5,positif
"game pepek,tim kek pepek, emang pepek,tiap gw main xavier kalah Mulu pepek, udah lose trek gw main tu hero pepek",1,negatif
BAGUS SIH BAGUS TAPI PAS DIDOWLOAD LAMA BAGET,5,positif
