content,score,label
babi emng update terus ya sebulan mau 2 atau 3 kali,3,positif
"Still liking this game, please continue supporting the dev so this game didn't get shutdown real soon",5,positif
kebanyakan apdet brayyy jadi mals mainnya kalo kebanyakan apdet gini mah tolong ya kalo mau apded tu 1 bln sekali aja dah biar enk tinggal login,3,positif
seru bangett,5,positif
bgus,5,positif
"Tolong dong chat global di kembalikan lagi, jadi sepi coc, trus teman fb sekarang gak muncul?",3,positif
gamenya bagus tapi sayang kalo di hapus akun hilang dan susah untuk balikin akunnya,4,positif
keren,4,positif
mantab,5,positif
cukup santai dan membuat otak berpikir keras kalo war,5,positif
sering update tapi gitu gitu aja. membosan kan,2,negatif
ok game nya😁,5,positif
tidak usah terlalu sering pembaruan anda hanya ingin selalu menghasilkan uang,4,positif
Mantap,5,positif
Baguss sekali,5,positif
gimana ya ini. setiap ada hadiah harus langaung di klaim. dan saya seringkali kepencet klaim nanti. anehnya saya cari tidak ada item atau box yg berisi hadiah tersebut. alhasil hilang/hangus. terus gunanya kata (klaim / klaim nanti) itu pa.!!! tolong diperbaiki lagi,2,negatif
mantap,5,positif
ok,5,positif
bagus event event nya,5,positif
"bagus, cuma mungkin waktu meng-upgrade agak dikurangi waktunya, dan harga barak tukang agak diturunkan yaaa makasih developer",4,positif
min mau minta bantuan 🙏 super id dihack orang. tapi account google masih aman nyatu di game.,4,positif
"gamenya sudah bagus, tapi beberapa minggu ini jaringan selalu bug attack war jadi panik pas tiba² muncul logo jaringan lag, tolong perbaiki supercell",5,positif
Old but gold !,5,positif
dari dulu sampai skrg,5,positif
banyakin tukang,4,positif
mudah mudan laboraterium bisa lebih 1 2 3 heroh bisa di up level heronya supaya permudah lagi,5,positif
uapdate teros terosan ampun ini game,3,positif
keren,5,positif
ingat ini geme santai dan perlu otak ingat ini baik baik,5,positif
"kash 4 dulu lah soalnya saya gk suka di mode malam serangannya dibatasin😈😈,, tolong lah serangan di mode malam jangan dibatasin udh upnya cuma bisa satu2 dibatasin lagi kan jadinya lama tolong diperbaikin lah,, owh iya satu lagi tolong donk chatnya ada voice jga biar lebih seru klu cuma ngetik doank kesannya agak kuno biar kekinin kan semuanya sekarang ada voicenya biar bisa lebih akrab jga sama temen satu clan,,, ralat lagi tolong setiap bangunan yg hancur pasukan jangan ada delai..",4,positif
"supercell saya barusan habis top up, tapi hadiahnya tidak ada , mohon di perbaiki",3,positif
makin lama makin gajelas ni game,1,negatif
makin seru aja mantap jiwa,5,positif
clash of clean favorit me always good,5,positif
"saat saya comeback main game ini lagi, ada event seru yang membuat saya ketagihan untuk terus memainkan game ini",5,positif
"udah males gue Ama nih developer satu, gue ga bisa login dari akun gue loh, masalah nya verifikasi di supercell id ga muncul verifikasi, apa coba supercell",2,negatif
gamenya bagus tapi eventnya mempermudah nyerang musuh tolong event seterusnya membagikan skin pahlawan jangan mempermudah permainan,5,positif
bagus,5,positif
terlalu banyak updet bikin malas aj,2,negatif
"gamenya masih seru kok,semoga kedepan lebih dicepatkan lagi waktu peningkatan troop,bangunan,pahlawan,dll..",5,positif
mantap,5,positif
gamenya bagus tp knp nya kalo gue login lama .kadang keluar sendiri knp kaya ada waktunya gitu 5-7 jam,5,positif
mantaaaaappppsssssss,5,positif
👍,5,positif
"kalau update itu jangan nanggung"" min... jadi males main masak tiap 3-5 har suruh update Mulu jadi bosen",2,negatif
"wah, makin lama makin mantap aja ni game.. jadi ngga kepengen lirik game lain.. haha",5,positif
seruuuuu bngeeeettdd,5,positif
"Ġ̲̮̲͡åк seru gara² banned permanent. ┌П┐(•͡˛˘•͡"")┌П┐",3,positif
"Game ini bags tapi satu yang masih harus Di perhatikan mengenai trofi,sangat tidak masuk akal kalau TH kecil trofi tinggi tapi saat mencari lawan malahan Di kasih TH sangat Tinggi contoh TH 9 trofi tinggi giliran attack malahan dikasi TH 11 max, menurutq ini tidak bagus Dan bisa aja membuat players bosan bermain.",1,negatif
"Bagus Game Nya mengajari untuk Santai,Sabar,Proses, Pembangunan Pokok Nya Keren Banget Dah",5,positif
Tingkatkan ambisimu setinggi tingginya.. jangan mudah menyerah..atur strategi mu,4,positif
"Dah bagus sih ini sekarang, Th 10 jaman sekarang kaya Th 7 waktu tahun 2016. Buat pasukan + spell juga no CD, gak perlu nunggu Hero bangun lagi buat nyerang (Kalau bisa sih waktu upgrade Hero masih bisa dibuat nyerang heronya). Banyak kemajuan dah intinya. Tapi ya namanya Clash of ""Clans"" susah buat main solo sedangkan banyak klan yang udah sepi/mati.",5,positif
game nya sangat seru dan juga asik buat mengisi waktu kosong 👍,5,positif
nice game,5,positif
Kebanyakan update,3,positif
"🙏kok makin eror jaringannya ya Ming selama hbs up date,,susah sekali ganti id",5,positif
ternyata makin seru juga y game nya,5,positif
keren,5,positif
sangat bagus,5,positif
update terus perasaan coc ni,3,positif
baik,5,positif
tambahin latar gratis dong?,5,positif
cool,5,positif
sangat bagus,5,positif
game paling santai,5,positif
mantap,5,positif
keren untuk pembangunan dan pertahanan nua,5,positif
"hapus waktu tunggu saat keluar aplikasi saat menyerang, saya saya belum mengeluarkan semua troops dan spell koneksi saya terputus, setidaknya kembalikan ke penyerangan, jangan di suruh tunggu, udah lagi gak semua nya di keluarkan, apa lagi gara-gara internet",2,negatif
game nya sangat seru,5,positif
sangat bgss,4,positif
keren,1,negatif
keren,5,positif
like,2,negatif
"hallo supercell,mengapa up hero waktunya dilamain,hero sangat penting buat atack,war,cwl ini sangat merepotkan sudah biayanya sangat mahal upnya sangat lama dan tolong dipermudah untuk mendapatkan mineral,gear melimpah tapi mineralnya langka,Terimakasih.",3,positif
"gimana cara mengatasi Pemberitahuan Penting LASH LANS Π Clash of Clans gratis dimainkan, tetapi progres dapat dipercepat dengan pembelian dalam aplikasi (untuk menonaktifkan ini, atur perlindungan kata sandi di setelan aplikasi Google Play Store). Dengan mengetuk ""Setuju"", kamu menyetujui Ketentuan Layanan kami. KETENTUAN LAYANAN KEBIJAKAN PRIVASI",5,positif
aaa cinta archer,5,positif
game nya seru banget,5,positif
Min tolong colleb sama lego dong biar bagus dan banyak pemainnya semoga di baca,5,positif
sangat baik,4,positif
jajah nya kurang lama harusnya 3menit kasihan th yang nyerang th atas seperti aku nyerang th atas th 11 mau menang 3bintang cuma waktunya kurang jadi bintang 2 please tambahin kalo ditambahin tak kasih bintang bintang 5 gw th 9,3,positif
"nyedot kuota bree,banget",1,negatif
nice try developer👍,5,positif
"aku adalah pemain tahun pertama, walaupun banyak akunku yang ilang hihi.",5,positif
game strategis yang bagus dimainkan,5,positif
seru banget,5,positif
kenapa tidak bisa login melalui Facebook akun saya th besar jadi hilang,3,positif
mntap,5,positif
sangat memuaskan,5,positif
tambah th 18,5,positif
sangat menyenangkan,5,positif
akun saya yg lama tidak bisa ke buka lagi sebab rumit kali proses nya,1,negatif
"Hey Dev kenapa sekarang lawannya sangat tidak seimbang setelah update, Town Hall 12 milik saya tier Champion sering bertemu dengan lawan Yang mempunyai Town Hall 15 ke atas jadi sangat tidak memungkinkan dalam matchmaking yang tidak seimbang seperti itu untuk menikmati gameplay.",3,positif
"tidak bisa login via google play game, padahal saya tidak pernah mengaitkan akun ke id supercell, dan sekarang akun saya hilang",1,negatif
gem nya sangat seru,5,positif
"min kok semenjak baru update sering for close trs cemana iniii,kaloo udaa baik nnti saya rating 5",2,negatif
